match_id,team1,team2,winner,team1_winrate,team2_winrate,winrate_diff,team1_recent_form,team2_recent_form,form_diff,team1_avg_rnd_diff,team2_avg_rnd_diff,rnd_diff_diff,avg_map_rnd_diff,maps_won_team1,maps_won_team2,total_rnd_diff,total_score,team1_team_avg_rating,team2_team_avg_rating,team_avg_rating_diff,team1_team_avg_acs,team2_team_avg_acs,team_avg_acs_diff,team1_team_avg_KD,team2_team_avg_KD,team_avg_KD_diff,team1_team_avg_kast,team2_team_avg_kast,team_avg_kast_diff,team1_team_avg_adr,team2_team_avg_adr,team_avg_adr_diff,team1_team_avg_kpr,team2_team_avg_kpr,team_avg_kpr_diff,team1_team_avg_apr,team2_team_avg_apr,team_avg_apr_diff,team1_team_avg_fkpr,team2_team_avg_fkpr,team_avg_fkpr_diff,team1_norm_rating,team2_norm_rating,norm_rating_diff,team1_norm_acs,team2_norm_acs,norm_acs_diff,team1_norm_KD,team2_norm_KD,norm_KD_diff,team1_norm_kast,team2_norm_kast,norm_kast_diff,team1_norm_adr,team2_norm_adr,norm_adr_diff,team1_norm_kpr,team2_norm_kpr,norm_kpr_diff,team1_norm_apr,team2_norm_apr,norm_apr_diff,team1_norm_fkpr,team2_norm_fkpr,norm_fkpr_diff,team1_composite_score,team2_composite_score,composite_score_diff
590638,Gen.G,Paper Rex,0,0.645,0.692,-0.046,0.7,0.6,0.1,2.4,5.2,-2.8,-3.5,1,3,-14,4,1.0,1.1,-0.1,202.6,221.8,-19.2,1.05,1.13,-0.07,0.72,0.74,-0.02,132.5,145.2,-12.7,0.7,0.8,-0.1,0.27,0.29,-0.02,0.102,0.126,-0.024,-0.258,1.567,-1.825,-0.814,1.611,-2.425,0.045,1.369,-1.324,-0.078,1.533,-1.611,-0.761,1.68,-2.441,-0.606,1.703,-2.309,-0.157,0.586,-0.743,-0.842,1.031,-1.873,-0.349,1.431,-1.78
590637,FunPlus Phoenix,Paper Rex,0,0.524,0.689,-0.165,0.6,0.6,0.0,0.4,3.8,-3.4,-7.5,0,2,-15,2,1.0,1.1,-0.1,205.3,221.8,-16.5,1.01,1.13,-0.11,0.71,0.74,-0.03,135.1,145.2,-10.1,0.7,0.8,-0.1,0.27,0.29,-0.02,0.114,0.126,-0.012,-0.967,1.567,-2.534,-0.478,1.611,-2.089,-0.71,1.369,-2.079,-0.857,1.533,-2.39,-0.267,1.68,-1.947,-0.752,1.703,-2.455,-0.343,0.586,-0.929,0.144,1.031,-0.887,-0.612,1.431,-2.043
590636,G2 Esports,Paper Rex,0,0.623,0.686,-0.064,0.7,0.6,0.1,4.8,0.2,4.6,-3.7,1,2,-11,3,1.1,1.1,-0.0,220.8,221.8,-1.0,1.08,1.13,-0.05,0.72,0.74,-0.01,142.9,145.2,-2.3,0.8,0.8,-0.0,0.28,0.29,-0.01,0.132,0.126,0.006,0.807,1.567,-0.76,1.48,1.611,-0.131,0.521,1.369,-0.848,0.558,1.533,-0.975,1.233,1.68,-0.447,1.024,1.703,-0.679,0.215,0.586,-0.371,1.443,1.031,0.412,0.875,1.431,-0.556
590635,Nova Esports,Bilibili Gaming,1,0.432,0.525,-0.092,0.4,0.2,0.2,-5.0,-8.4,3.4,2.0,1,0,2,1,1.0,1.0,-0.1,195.1,198.4,-3.3,0.97,0.98,-0.01,0.69,0.72,-0.03,121.7,129.9,-8.2,0.7,0.7,-0.0,0.29,0.31,-0.02,0.09,0.108,-0.018,-1.854,-0.562,-1.292,-1.764,-1.347,-0.417,-1.626,-1.456,-0.17,-2.073,-0.078,-1.995,-2.857,-1.27,-1.587,-1.65,-1.498,-0.152,0.888,1.608,-0.72,-1.951,-0.335,-1.616,-1.678,-0.745,-0.933
590634,Paper Rex,Bilibili Gaming,1,0.684,0.529,0.155,0.6,0.2,0.4,0.8,-9.6,10.4,4.0,1,0,4,1,1.1,1.0,0.1,221.8,198.4,23.4,1.13,0.98,0.15,0.74,0.72,0.02,145.2,129.9,15.3,0.8,0.7,0.1,0.29,0.31,-0.02,0.126,0.108,0.018,1.567,-0.562,2.129,1.611,-1.347,2.958,1.369,-1.456,2.825,1.533,-0.078,1.611,1.68,-1.27,2.95,1.703,-1.498,3.201,0.586,1.608,-1.022,1.031,-0.335,1.366,1.431,-0.745,2.176
590633,Paper Rex,Gen.G,0,0.69,0.642,0.047,0.7,0.7,0.0,-0.8,2.0,-2.8,-2.0,0,1,-2,1,1.1,1.0,0.1,221.8,202.6,19.2,1.13,1.05,0.07,0.74,0.72,0.02,145.2,132.5,12.7,0.8,0.7,0.1,0.29,0.27,0.02,0.126,0.102,0.024,1.567,-0.258,1.825,1.611,-0.814,2.425,1.369,0.045,1.324,1.533,-0.078,1.611,1.68,-0.761,2.441,1.703,-0.606,2.309,0.586,-0.157,0.743,1.031,-0.842,1.873,1.431,-0.349,1.78
590632,G2 Esports,Gen.G,0,0.628,0.639,-0.011,0.7,0.6,0.1,9.8,2.4,7.4,-6.0,0,1,-6,1,1.1,1.0,0.0,220.8,202.6,18.2,1.08,1.05,0.03,0.72,0.72,0.01,142.9,132.5,10.4,0.8,0.7,0.0,0.28,0.27,0.01,0.132,0.102,0.03,0.807,-0.258,1.065,1.48,-0.814,2.294,0.521,0.045,0.476,0.558,-0.078,0.636,1.233,-0.761,1.994,1.024,-0.606,1.63,0.215,-0.157,0.372,1.443,-0.842,2.285,0.875,-0.349,1.224
590631,G2 Esports,FunPlus Phoenix,0,0.634,0.52,0.114,0.7,0.6,0.1,11.0,1.2,9.8,-4.0,0,1,-4,1,1.1,1.0,0.1,220.8,205.3,15.5,1.08,1.01,0.07,0.72,0.71,0.02,142.9,135.1,7.8,0.8,0.7,0.1,0.28,0.27,0.01,0.132,0.114,0.018,0.807,-0.967,1.774,1.48,-0.478,1.958,0.521,-0.71,1.231,0.558,-0.857,1.415,1.233,-0.267,1.5,1.024,-0.752,1.776,0.215,-0.343,0.558,1.443,0.144,1.299,0.875,-0.612,1.487
590630,Nova Esports,FunPlus Phoenix,0,0.438,0.515,-0.076,0.4,0.5,-0.1,-0.6,2.6,-3.2,-7.0,0,1,-7,1,1.0,1.0,-0.0,195.1,205.3,-10.2,0.97,1.01,-0.05,0.69,0.71,-0.02,121.7,135.1,-13.4,0.7,0.7,-0.0,0.29,0.27,0.03,0.09,0.114,-0.024,-1.854,-0.967,-0.887,-1.764,-0.478,-1.286,-1.626,-0.71,-0.916,-2.073,-0.857,-1.216,-2.857,-0.267,-2.59,-1.65,-0.752,-0.898,0.888,-0.343,1.231,-1.951,0.144,-2.095,-1.678,-0.612,-1.066
590629,Nova Esports,G2 Esports,0,0.444,0.631,-0.186,0.4,0.7,-0.3,-1.2,10.8,-12.0,-6.0,0,1,-6,1,1.0,1.1,-0.1,195.1,220.8,-25.7,0.97,1.08,-0.11,0.69,0.72,-0.03,121.7,142.9,-21.2,0.7,0.8,-0.1,0.29,0.28,0.01,0.09,0.132,-0.042,-1.854,0.807,-2.661,-1.764,1.48,-3.244,-1.626,0.521,-2.147,-2.073,0.558,-2.631,-2.857,1.233,-4.09,-1.65,1.024,-2.674,0.888,0.215,0.673,-1.951,1.443,-3.394,-1.678,0.875,-2.553
