match_id,team1,team2,event,series,winner,score_diff,total_rnd_diff,num_maps,avg_round_diff,max_round_diff,min_round_diff,maps_played,t1_matches,t1_wins,t1_map_diff,t1_round_diff,t2_matches,t2_wins,t2_map_diff,t2_round_diff
590638,Gen.G,Paper Rex,Valorant Radiant International Invitational,Main Event–Grand Final,0,-2,-14,4,-3.5,8,-10,Abyss|Split|Haven|Bind,105,67,44,332,115,81,78,466
590637,FunPlus Phoenix,Paper Rex,Valorant Radiant International Invitational,Main Event–Semifinal,0,-2,-15,2,-7.5,-6,-9,Split|Bind,94,48,-3,100,115,81,78,466
590636,G2 Esports,Paper Rex,Valorant Radiant International Invitational,Main Event–Quarterfinal,0,-1,-11,3,-3.6666666666666665,3,-11,Split|Corrode|Haven,104,64,41,285,115,81,78,466
590635,Nova Esports,Bilibili Gaming,Valorant Radiant International Invitational,Main Event–Day 2,1,1,2,1,2.0,2,2,Pearl,66,30,-9,-22,104,52,5,-43
590634,Paper Rex,Bilibili Gaming,Valorant Radiant International Invitational,Main Event–Day 2,1,1,4,1,4.0,4,4,Split,115,81,78,466,104,52,5,-43
590633,Paper Rex,Gen.G,Valorant Radiant International Invitational,Main Event–Day 2,0,-1,-2,1,-2.0,-2,-2,Pearl,115,81,78,466,105,67,44,332
590632,G2 Esports,Gen.G,Valorant Radiant International Invitational,Main Event–Day 2,0,-1,-6,1,-6.0,-6,-6,Haven,104,64,41,285,105,67,44,332
590631,G2 Esports,FunPlus Phoenix,Valorant Radiant International Invitational,Main Event–Day 2,0,-1,-4,1,-4.0,-4,-4,Sunset,104,64,41,285,94,48,-3,100
590630,Nova Esports,FunPlus Phoenix,Valorant Radiant International Invitational,Main Event–Day 2,0,-1,-7,1,-7.0,-7,-7,Haven,66,30,-9,-22,94,48,-3,100
590629,Nova Esports,G2 Esports,Valorant Radiant International Invitational,Main Event–Day 1,0,-1,-6,1,-6.0,-6,-6,Bind,66,30,-9,-22,104,64,41,285
590628,Bilibili Gaming,G2 Esports,Valorant Radiant International Invitational,Main Event–Day 1,0,-1,-10,1,-10.0,-10,-10,Corrode,104,52,5,-43,104,64,41,285
590627,Bilibili Gaming,Gen.G,Valorant Radiant International Invitational,Main Event–Day 1,0,-1,-8,1,-8.0,-8,-8,Corrode,104,52,5,-43,105,67,44,332
590626,FunPlus Phoenix,Gen.G,Valorant Radiant International Invitational,Main Event–Day 1,0,-1,-7,1,-7.0,-7,-7,Split,94,48,-3,100,105,67,44,332
590625,FunPlus Phoenix,Paper Rex,Valorant Radiant International Invitational,Main Event–Day 1,1,1,2,1,2.0,2,2,Bind,94,48,-3,100,115,81,78,466
590624,Nova Esports,Paper Rex,Valorant Radiant International Invitational,Main Event–Day 1,0,-1,-8,1,-8.0,-8,-8,Bind,66,30,-9,-22,115,81,78,466
595300,ENVY,FURIA,For Those Who Dare 2025,Playoffs–Grand Final,1,1,10,3,3.333333333333333,11,-6,Sunset|Haven|Split,37,28,34,227,60,20,-38,-295
595299,FURIA,QoR,For Those Who Dare 2025,Playoffs–Semifinals,1,2,13,2,6.5,7,6,Bind|Abyss,60,20,-38,-295,5,2,-2,-5
595298,ENVY,We Almost Did It,For Those Who Dare 2025,Playoffs–Semifinals,1,1,11,3,3.6666666666666665,9,-4,Bind|Sunset|Corrode,37,28,34,227,1,0,-1,-11
593555,Eternal Fire,GIANTX,Project Blender 2025,Phase 4–Grand Final,0,-1,-2,3,-0.6666666666666666,8,-6,Abyss|Sunset|Bind,6,3,0,-7,46,21,-3,-117
593556,Team Vitality,Team Liquid Academy,Project Blender 2025,Phase 4–Consolation Final,1,2,10,2,5.0,7,3,Pearl|Corrode,62,32,1,56,5,3,1,2
593554,Team Liquid Academy,GIANTX,Project Blender 2025,Phase 4–Semifinals,0,-1,-9,3,-3.0,3,-8,Abyss|Pearl|Haven,5,3,1,2,46,21,-3,-117
593553,Eternal Fire,Team Vitality,Project Blender 2025,Phase 4–Semifinals,1,1,0,3,0.0,5,-7,Abyss|Bind|Split,6,3,0,-7,62,32,1,56
593551,Team Liquid Academy,FUT Esports,Project Blender 2025,Phase 4–Quarterfinals,1,1,5,3,1.6666666666666667,7,-5,Pearl|Abyss|Corrode,5,3,1,2,99,57,12,98
593552,GIANTX,Natus Vincere,Project Blender 2025,Phase 4–Quarterfinals,1,2,7,2,3.5,5,2,Abyss|Bind,46,21,-3,-117,65,33,-5,-9
593550,Karmine Corp,Team Vitality,Project Blender 2025,Phase 4–Quarterfinals,0,-1,-4,3,-1.3333333333333333,7,-6,Split|Bind|Corrode,65,32,0,27,62,32,1,56
593544,BRATAN MIX,Team Vitality,Project Blender 2025,Phase 4–Round of 16,0,-2,-14,2,-7.0,-4,-10,Haven|Abyss,1,0,-2,-14,62,32,1,56
593543,Karmine Corp,3BL Esports,Project Blender 2025,Phase 4–Round of 16,1,2,15,2,7.5,9,6,Haven|Abyss,65,32,0,27,2,0,-3,-18
593547,GIANTX,Ramboot Club,Project Blender 2025,Phase 4–Round of 16,1,1,8,3,2.6666666666666665,8,-3,Abyss|Haven|Bind,46,21,-3,-117,3,1,-1,-12
593545,BBL Esports,Team Liquid Academy,Project Blender 2025,Phase 4–Round of 16,0,-2,-11,2,-5.5,-3,-8,Corrode|Abyss,62,37,19,108,5,3,1,2
